numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
P001,CLI-279,2026-02-18,CONFIRMADO,ZONA8,false
P002,CLI-338,2026-02-14,CONFIRMADO,ZONA30,false
P003,CLI-281,2026-01-23,ENTREGADO,ZONA29,true
P004,CLI-097,2026-01-22,PENDIENTE,ZONA20,true
P005,CLI-053,2026-02-13,ENTREGADO,ZONA29,false
P006,CLI-274,2026-02-23,PENDIENTE,ZONA21,false
P007,CLI-106,2026-02-17,PENDIENTE,ZONA27,false
P008,CLI-357,2026-01-25,CONFIRMADO,ZONA25,false
P009,CLI-086,2026-02-25,PENDIENTE,ZONA5,false
P010,CLI-223,2026-01-23,PENDIENTE,ZONA9,false
P011,CLI-232,2026-02-24,CONFIRMADO,ZONA24,true
P012,CLI-123,2026-01-29,ENTREGADO,ZONA19,true
P013,CLI-176,2026-02-24,PENDIENTE,ZONA13,false
P014,CLI-459,2026-02-12,CONFIRMADO,ZONA1,false
P015,CLI-348,2026-02-28,PENDIENTE,ZONA30,false
P016,CLI-116,2026-02-27,PENDIENTE,ZONA4,true
P017,CLI-233,2026-02-03,PENDIENTE,ZONA16,false
P018,CLI-429,2026-02-10,PENDIENTE,ZONA12,true
P019,CLI-324,2026-02-16,CONFIRMADO,ZONA18,true
P020,CLI-284,2026-01-22,CONFIRMADO,ZONA13,true
P021,CLI-429,2026-02-02,PENDIENTE,ZONA13,false
P022,CLI-338,2026-01-26,CONFIRMADO,ZONA11,false
P023,CLI-389,2026-02-18,CONFIRMADO,ZONA8,false
P024,CLI-403,2026-03-01,PENDIENTE,ZONA21,false
P025,CLI-297,2026-02-25,CONFIRMADO,ZONA24,false
P026,CLI-431,2026-02-01,PENDIENTE,ZONA5,false
P027,CLI-295,2026-02-13,CONFIRMADO,ZONA2,true
P028,CLI-284,2026-01-30,CONFIRMADO,ZONA24,true
P029,CLI-448,2026-01-27,PENDIENTE,ZONA24,false
P030,CLI-126,2026-02-02,CONFIRMADO,ZONA3,false
P031,CLI-112,2026-01-22,ENTREGADO,ZONA9,true
P032,CLI-225,2026-02-08,CONFIRMADO,ZONA24,false
P033,CLI-466,2026-02-28,CONFIRMADO,ZONA8,false
P034,CLI-342,2026-02-14,CONFIRMADO,ZONA19,true
P035,CLI-094,2026-02-14,CONFIRMADO,ZONA20,false
P036,CLI-439,2026-02-19,PENDIENTE,ZONA29,false
P037,CLI-497,2026-02-08,ENTREGADO,ZONA9,true
P038,CLI-477,2026-02-05,ENTREGADO,ZONA29,false
P039,CLI-181,2026-02-26,CONFIRMADO,ZONA18,false
P040,CLI-121,2026-02-16,PENDIENTE,ZONA14,false
P041,CLI-142,2026-02-03,PENDIENTE,ZONA3,true
P042,CLI-188,2026-02-26,ENTREGADO,ZONA21,false
P043,CLI-417,2026-01-30,PENDIENTE,ZONA28,false
P044,CLI-033,2026-02-19,ENTREGADO,ZONA19,false
P045,CLI-142,2026-02-14,PENDIENTE,ZONA12,false
P046,CLI-365,2026-01-23,CONFIRMADO,ZONA4,false
P047,CLI-349,2026-01-29,ENTREGADO,ZONA7,false
P048,CLI-073,2026-01-22,CONFIRMADO,ZONA20,false
P049,CLI-336,2026-01-21,CONFIRMADO,ZONA6,false
P050,CLI-309,2026-02-24,ENTREGADO,ZONA10,true
P051,CLI-041,2026-02-09,ENTREGADO,ZONA30,false
P052,CLI-301,2026-01-26,PENDIENTE,ZONA26,true
P053,CLI-346,2026-02-13,ENTREGADO,ZONA10,false
P054,CLI-487,2026-02-10,ENTREGADO,ZONA4,true
P055,CLI-278,2026-02-14,PENDIENTE,ZONA7,false
P056,CLI-279,2026-02-14,PENDIENTE,ZONA6,true
P057,CLI-244,2026-01-28,CONFIRMADO,ZONA27,false
P058,CLI-233,2026-02-09,CONFIRMADO,ZONA22,false
P059,CLI-099,2026-02-11,CONFIRMADO,ZONA9,false
P060,CLI-098,2026-01-27,ENTREGADO,ZONA15,false
P061,CLI-227,2026-02-07,ENTREGADO,ZONA23,false
P062,CLI-074,2026-02-28,PENDIENTE,ZONA26,true
P063,CLI-121,2026-02-11,PENDIENTE,ZONA20,false
P064,CLI-340,2026-02-25,CONFIRMADO,ZONA16,false
P065,CLI-074,2026-02-20,CONFIRMADO,ZONA7,false
P066,CLI-323,2026-01-23,ENTREGADO,ZONA2,true
P067,CLI-340,2026-02-19,PENDIENTE,ZONA27,false
P068,CLI-451,2026-02-21,PENDIENTE,ZONA24,false
P069,CLI-222,2026-02-04,ENTREGADO,ZONA19,false
P070,CLI-294,2026-02-19,CONFIRMADO,ZONA18,false
P071,CLI-350,2026-01-21,ENTREGADO,ZONA24,false
P072,CLI-153,2026-01-22,PENDIENTE,ZONA2,false
P073,CLI-210,2026-01-31,PENDIENTE,ZONA17,true
P074,CLI-478,2026-02-23,CONFIRMADO,ZONA26,false
P075,CLI-448,2026-01-21,ENTREGADO,ZONA5,false
P076,CLI-076,2026-02-13,ENTREGADO,ZONA19,false
P077,CLI-014,2026-02-26,PENDIENTE,ZONA25,false
P078,CLI-197,2026-02-26,ENTREGADO,ZONA28,false
P079,CLI-462,2026-02-06,CONFIRMADO,ZONA4,false
P080,CLI-399,2026-02-09,ENTREGADO,ZONA13,false
P081,CLI-439,2026-02-16,CONFIRMADO,ZONA14,true
P082,CLI-448,2026-02-16,ENTREGADO,ZONA15,false
P083,CLI-076,2026-01-26,CONFIRMADO,ZONA25,false
P084,CLI-308,2026-02-22,CONFIRMADO,ZONA4,false
P085,CLI-302,2026-02-20,PENDIENTE,ZONA14,false
P086,CLI-161,2026-02-22,ENTREGADO,ZONA8,false
P087,CLI-224,2026-02-12,ENTREGADO,ZONA8,false
P088,CLI-118,2026-01-30,PENDIENTE,ZONA24,true
P089,CLI-467,2026-01-25,CONFIRMADO,ZONA27,true
P090,CLI-106,2026-02-20,PENDIENTE,ZONA5,false
P091,CLI-304,2026-01-23,PENDIENTE,ZONA24,false
P092,CLI-323,2026-02-03,ENTREGADO,ZONA9,true
P093,CLI-038,2026-02-22,ENTREGADO,ZONA14,false
P094,CLI-253,2026-01-31,PENDIENTE,ZONA13,true
P095,CLI-338,2026-01-26,CONFIRMADO,ZONA23,false
P096,CLI-018,2026-02-14,PENDIENTE,ZONA3,false
P097,CLI-124,2026-02-19,CONFIRMADO,ZONA13,false
P098,CLI-177,2026-01-28,ENTREGADO,ZONA21,false
